前十名股东持股情况2,,,,,,,
股东名称,报告期内增减1,期末持股数量,"比例
(%)","持有有限售条
件股份数量3",质押、标记或冻结情况,,股东性质
,,,,,股份状态,数量,
"中国石油化工集
团有限公司3","28,486,900","83,090,545,996",68.53,"2,390,438,247",无,-,国家股
"香港中央结算
（代理人）有限
公司4","(36,728,378)","23,874,861,206",19.69,-,未知,未知,H股
"中国证券金融股
份有限公司",-,"2,325,374,407",1.92,-,无,-,A股
"中国石油天然气
集团有限公司",-,"2,165,749,530",1.79,-,无,-,A股
"香港中央结算有
限公司","(212,753,555)","883,084,973",0.73,-,无,-,A股
"中国人寿保险股
份有限公司－传
统－普通保险产
品－005L－
CT001沪","(232,135,104)","323,233,345",0.27,-,无,-,A股
"中央汇金资产管
理有限责任公司",-,"315,223,600",0.26,-,无,-,A股
"中国工商银行－
上证50交易型
开放式指数证券
投资基金","11,576,238","285,589,093",0.24,-,无,-,A股
"中国工商银行股
份有限公司－华
泰柏瑞沪深300
交易型开放式指
数证券投资基金","8,386,790","260,103,497",0.21,-,无,-,A股
"国信证券股份有
限公司","(2,128,700)","235,473,114",0.19,-,质押,"109,603,100",A股
前十名股东中回购专户情况说明,,无,,,,,
"上述股东委托表决权、受托表决权、
放弃表决权的说明",,无,,,,,
"上述股东关联关系或一致行动的说
明",,中国石化未知上述前十名股东之间有关联关系或一致行动。,,,,,
表决权恢复的优先股股东及持股数,,无,,,,,
