前十名无限售条件股东持股情况1,,,
股东名称,"持有无限售条件
流通股的数量",股份种类及数量,
,,种类,数量
中国石油化工集团有限公司,"80,700,107,749",人民币普通股,"80,700,107,749"
香港中央结算（代理人）有限公司,"23,874,861,206",境外上市外资股,"23,874,861,206"
中国证券金融股份有限公司,"2,325,374,407",人民币普通股,"2,325,374,407"
中国石油天然气集团有限公司,"2,165,749,530",人民币普通股,"2,165,749,530"
香港中央结算有限公司,"883,084,973",人民币普通股,"883,084,973"
"中国人寿保险股份有限公司－传统－普
通保险产品－005L－CT001沪","323,233,345",人民币普通股,"323,233,345"
中央汇金资产管理有限责任公司,"315,223,600",人民币普通股,"315,223,600"
"中国工商银行－上证50 交易型开放式指
数证券投资基金","285,589,093",人民币普通股,"285,589,093"
"中国工商银行股份有限公司－华泰柏瑞
沪深300交易型开放式指数证券投资基金","260,103,497",人民币普通股,"260,103,497"
国信证券股份有限公司,"235,473,114",人民币普通股,"235,473,114"
