利率（%）,,2.24,1.7,1.75,1.75,1.96,2,1.5,1.5,1.5,1.62,1.45
还本付息方式,"中票每年付息一次，到期一次还本，最后一期利息随本金的兑付一起支付。超短期融资券利息随本金
一起兑付。",,,,,,,,,,,
投资者适当性安排,全国银行间债券市场机构投资者,,,,,,,,,,,
适用的交易机制,在全国银行间债券市场流通转让,,,,,,,,,,,
"是否存在终止上市
交易的风险（如有）
和应对措施",不适用,,,,,,,,,,,
交易场所,全国银行间债券市场,,,,,,,,,,,
"债券募集资金使用
情况",按照募集说明书中募集资金用途使用发债资金。目前，全部募集资金已使用完毕。,,,,,,,,,,,
债券资信评级情况,主体评级AAA，20年期债项评级AAA,,,,,,,,,,,
"债券附发行人或投
资者选择权条款、
投资者保护条款等
特殊条款的触发和
执行情况",不适用,,,,,,,,,,,
"报告期内债券担保
情况、偿债计划及
其他相关情况",债券无担保，偿债计划没有变化,,,,,,,,,,,
"债券持有人会议召
开情况",本报告期无,,,,,,,,,,,
"债券受托管理人履
职情况",债券受托管理人按监管要求履行了相关职责,,,,,,,,,,,
